Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,4.31,4.34,4.19,4.24,4.24,2140900
,4.2825,4.3175,4.157500000000001,4.202500000000001,4.202500000000001,2219825
,4.255,4.295,4.125,4.165,4.165,2298750
,4.2275,4.2725,4.092499999999999,4.1274999999999995,4.1274999999999995,2377675
2020-07-07,4.2,4.25,4.06,4.09,4.09,2456600
,4.175000000000001,4.26,4.0525,4.1325,4.1325,2355650
,4.15,4.27,4.045,4.175,4.175,2254700
,4.125,4.279999999999999,4.0375,4.217499999999999,4.217499999999999,2153750
2020-07-08,4.1,4.29,4.03,4.26,4.26,2052800
,4.1425,4.297499999999999,4.055,4.2475,4.2475,2037750
,4.185,4.305,4.08,4.234999999999999,4.234999999999999,2022700
,4.227499999999999,4.3125,4.105,4.2225,4.2225,2007650
2020-07-09,4.27,4.32,4.13,4.21,4.21,1992600
,4.2524999999999995,4.335,4.1425,4.2425,4.2425,1847150
,4.234999999999999,4.35,4.154999999999999,4.275,4.275,1701700
,4.217499999999999,4.365,4.1674999999999995,4.3075,4.3075,1556250
2020-07-10,4.2,4.38,4.18,4.34,4.34,1410800
,4.237500000000001,4.422499999999999,4.199999999999999,4.32,4.32,2112150
,4.275,4.465,4.22,4.3,4.3,2813500
,4.3125,4.5075,4.24,4.279999999999999,4.279999999999999,3514850
2020-07-13,4.35,4.55,4.26,4.26,4.26,4216200
,4.3175,4.49,4.2125,4.215,4.215,3727550
,4.285,4.43,4.165,4.17,4.17,3238900
,4.2524999999999995,4.369999999999999,4.1175,4.125,4.125,2750250
2020-07-14,4.22,4.31,4.07,4.08,4.08,2261600
,4.1975,4.305,4.085,4.1075,4.1075,2064725
,4.175,4.3,4.1,4.135,4.135,1867850
,4.1525,4.295,4.115,4.1625,4.1625,1670975
2020-07-15,4.13,4.29,4.13,4.19,4.19,1474100
,4.145,4.2675,4.119999999999999,4.1850000000000005,4.1850000000000005,1438100
,4.16,4.245,4.109999999999999,4.18,4.18,1402100
,4.175000000000001,4.2225,4.1,4.175,4.175,1366100
2020-07-16,4.19,4.2,4.09,4.17,4.17,1330100
,4.182500000000001,4.2075,4.0525,4.1175,4.1175,1764050
,4.175000000000001,4.215,4.015,4.0649999999999995,4.0649999999999995,2198000
,4.1675,4.2225,3.9775,4.012499999999999,4.012499999999999,2631950
2020-07-17,4.16,4.23,3.94,3.96,3.96,3065900
,4.1075,4.1875,3.8975,3.9325,3.9325,3149700
,4.055,4.145,3.855,3.9050000000000002,3.9050000000000002,3233500
,4.0024999999999995,4.102499999999999,3.8125,3.8775000000000004,3.8775000000000004,3317300
2020-07-20,3.95,4.06,3.77,3.85,3.85,3401100
,3.9375,4.067499999999999,3.7975000000000003,3.8899999999999997,3.8899999999999997,3385300
,3.925,4.074999999999999,3.825,3.9299999999999997,3.9299999999999997,3369500
,3.9124999999999996,4.0825,3.8525,3.9699999999999998,3.9699999999999998,3353700
2020-07-21,3.9,4.09,3.88,4.01,4.01,3337900
,3.9299999999999997,4.0975,3.8899999999999997,4.035,4.035,3134300
,3.96,4.105,3.9,4.0600000000000005,4.0600000000000005,2930700
,3.9899999999999998,4.112500000000001,3.91,4.085000000000001,4.085000000000001,2727100
2020-07-22,4.02,4.12,3.92,4.11,4.11,2523500
,4.0375,4.1675,3.955,4.11,4.11,2701925
,4.055,4.215,3.9899999999999998,4.11,4.11,2880350
,4.0725,4.262499999999999,4.0249999999999995,4.11,4.11,3058775
2020-07-23,4.09,4.31,4.06,4.11,4.11,3237200
