,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-07-06,4.31,4.34,4.19,4.24,4.24,2140900
1,2020-07-07,4.2,4.25,4.06,4.09,4.09,2456600
2,2020-07-08,4.1,4.29,4.03,4.26,4.26,2052800
3,2020-07-09,4.27,4.32,4.13,4.21,4.21,1992600
4,2020-07-10,4.2,4.38,4.18,4.34,4.34,1410800
5,2020-07-13,4.35,4.55,4.26,4.26,4.26,4216200
6,2020-07-14,4.22,4.31,4.07,4.08,4.08,2261600
7,2020-07-15,4.13,4.29,4.13,4.19,4.19,1474100
8,2020-07-16,4.19,4.2,4.09,4.17,4.17,1330100
9,2020-07-17,4.16,4.23,3.94,3.96,3.96,3065900
10,2020-07-20,3.95,4.06,3.77,3.85,3.85,3401100
11,2020-07-21,3.9,4.09,3.88,4.01,4.01,3337900
12,2020-07-22,4.02,4.12,3.92,4.11,4.11,2523500
13,2020-07-23,4.09,4.31,4.06,4.11,4.11,3237200
14,2020-07-24,4.06,4.23,4.01,4.03,4.03,2215900
15,2020-07-27,4.02,4.12,3.95,4.01,4.01,2472700
16,2020-07-28,3.96,4.05,3.92,3.94,3.94,4555400
17,2020-07-29,3.94,4.18,3.92,4.06,4.06,2879600
18,2020-07-30,4.0,4.23,3.97,4.1,4.1,2398500
19,2020-07-31,4.06,4.16,3.99,4.01,4.01,1879400
20,2020-08-03,4.03,4.25,4.0,4.15,4.15,2517600
21,2020-08-04,4.13,4.74,4.13,4.43,4.43,10361400
22,2020-08-05,4.5,4.76,4.25,4.63,4.63,4919300
23,2020-08-06,4.6,4.66,4.38,4.43,4.43,1901200
24,2020-08-07,4.39,4.4,4.06,4.16,4.16,3341100
25,2020-08-10,4.2,4.57,4.18,4.33,4.33,4561800
26,2020-08-11,4.43,4.57,4.34,4.35,4.35,3138800
27,2020-08-12,4.4,4.63,4.36,4.52,4.52,3057600
28,2020-08-13,4.52,4.71,4.5,4.64,4.64,2128300
29,2020-08-14,4.6,4.83,4.55,4.75,4.75,3474400
30,2020-08-17,4.78,4.78,4.56,4.63,4.63,2371000
31,2020-08-18,4.61,4.87,4.43,4.81,4.81,3834400
32,2020-08-19,4.8,4.84,4.64,4.72,4.72,2612600
33,2020-08-20,4.62,4.68,4.51,4.61,4.61,2441200
34,2020-08-21,4.6,5.6,4.6,5.03,5.03,10642600
35,2020-08-24,5.1,5.13,4.56,4.87,4.87,4585400
36,2020-08-25,4.88,5.25,4.88,4.98,4.98,2998700
37,2020-08-26,4.97,5.22,4.92,5.11,5.11,2779700
38,2020-08-27,5.11,5.38,5.02,5.25,5.25,3384400
39,2020-08-28,5.3,5.57,5.22,5.39,5.39,4236900
40,2020-08-31,5.77,7.15,5.69,6.68,6.68,37976000
41,2020-09-01,7.3,7.82,6.77,7.65,7.65,23158600
42,2020-09-02,7.8,8.05,7.11,7.71,7.71,13011100
43,2020-09-03,7.88,8.45,7.24,7.82,7.82,14344500
44,2020-09-04,7.78,7.92,7.17,7.65,7.65,7662000
45,2020-09-08,7.55,8.28,7.48,7.7,7.7,9816600
46,2020-09-09,7.96,7.99,7.31,7.35,7.35,9068100
47,2020-09-10,6.65,6.95,6.19,6.23,6.23,15558300
48,2020-09-11,6.26,6.33,5.87,6.09,6.09,6061200
49,2020-09-14,6.8,7.0,6.43,6.91,6.91,10119000
50,2020-09-15,6.86,7.26,6.69,7.09,7.09,5743500
51,2020-09-16,7.03,9.04,7.03,8.68,8.68,19256300
52,2020-09-17,8.57,9.77,8.41,9.2,9.2,17026700
53,2020-09-18,9.2,9.77,8.91,9.47,9.47,17407500
54,2020-09-21,9.35,9.6,8.38,8.75,8.75,7639800
55,2020-09-22,10.45,11.17,9.9,10.56,10.56,34752500
56,2020-09-23,10.6,10.86,9.92,10.04,10.04,10651200
57,2020-09-24,9.71,9.81,9.01,9.14,9.14,7938800
58,2020-09-25,9.19,10.18,9.1,10.02,10.02,7515200
59,2020-09-28,10.16,10.26,9.55,10.09,10.09,6764300
60,2020-09-29,10.0,10.65,9.93,10.35,10.35,5237600
61,2020-09-30,10.25,10.76,10.06,10.2,10.2,6079000
